Price,Close,High,Low,Open,Volume
Ticker,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD
Date,,,,,
2022-10-07,0.9022529721260071,0.9060159921646118,0.897229015827179,0.8977239727973938,52741
2022-10-08,0.9043689966201782,0.9128739833831787,0.9013170003890991,0.9022560119628906,48490
2022-10-09,0.9031850099563599,0.9086949825286865,0.902226984500885,0.9043650031089783,86576
2022-10-10,0.850911021232605,0.9086740016937256,0.8506929874420166,0.903186023235321,64128
2022-10-11,0.8265159726142883,0.8881779909133911,0.8264420032501221,0.8509029746055603,57839
2022-10-12,0.8280850052833557,0.8499889969825745,0.7981320023536682,0.8265320062637329,47659
2022-10-13,0.8218960165977478,0.8436319828033447,0.821645975112915,0.8280770182609558,47055
2022-10-14,0.8190619945526123,0.8451740145683289,0.8186360001564026,0.8219000101089478,42551
2022-10-15,0.8208590149879456,0.8477309942245483,0.7964019775390625,0.8190619945526123,44836
2022-10-16,0.8209329843521118,0.8507480025291443,0.8203070163726807,0.8208569884300232,47759
2022-10-17,0.8527359962463379,0.8703789710998535,0.8209289908409119,0.8209360241889954,55128
2022-10-18,0.8761450052261353,0.8761450052261353,0.8523499965667725,0.8527349829673767,54619
2022-10-19,0.8842509984970093,0.8843740224838257,0.8760309815406799,0.8761439919471741,52336
2022-10-20,0.880994975566864,0.8842939734458923,0.7723820209503174,0.884257972240448,68
2022-10-21,0.8811079859733582,0.8811249732971191,0.8809369802474976,0.8809999823570251,21
2022-10-22,0.22421899437904358,0.8811669945716858,0.09090600162744522,0.8811089992523193,4284
2022-10-23,0.1726129949092865,0.2275180071592331,0.1613049954175949,0.22421400249004364,283
2022-10-24,0.10200600326061249,0.1947229951620102,0.10200399905443192,0.1726119965314865,174
2022-10-25,0.10212100297212601,0.10212600231170654,0.1020049974322319,0.1020049974322319,0
2022-10-26,0.16480399668216705,0.23154999315738678,0.10211700201034546,0.10211999714374542,35
2022-10-27,0.09100800007581711,0.16527199745178223,0.09100499749183655,0.16480499505996704,32
2022-10-28,0.09101299941539764,0.09102000296115875,0.09100499749183655,0.0910089984536171,8
2022-10-29,0.025405999273061752,0.0990229994058609,0.025107000023126602,0.09101299941539764,493
2022-10-30,0.017002999782562256,0.030007999390363693,0.011901999823749065,0.025405999273061752,219
2022-10-31,0.012999000027775764,0.029205000028014183,0.012999000027775764,0.017002999782562256,3
2022-11-01,0.013794999569654465,0.02786099910736084,0.01299699954688549,0.012999000027775764,15
2022-11-02,0.013000000268220901,0.013899000361561775,0.012999000027775764,0.013794999569654465,12
2022-11-03,0.013100000098347664,0.025001000612974167,0.012999000027775764,0.013000000268220901,72
2022-11-04,0.014801000244915485,0.014801999554038048,0.013100000098347664,0.013100000098347664,8
2022-11-05,0.014801999554038048,0.014802999794483185,0.014801000244915485,0.014801000244915485,0
2022-11-06,0.014801000244915485,0.014801999554038048,0.014800000004470348,0.014801999554038048,0
2022-11-07,0.014801000244915485,0.014801999554038048,0.014801000244915485,0.014801000244915485,0
2022-11-08,0.014800000004470348,0.014808000065386295,0.014800000004470348,0.014801000244915485,0
